sic,sic_2,sic_class,sic_industry
3634,36,D,Manufacturing
3635,36,D,Manufacturing
3636,36,D,Manufacturing
3639,36,D,Manufacturing
3641,36,D,Manufacturing
3643,36,D,Manufacturing
3644,36,D,Manufacturing
3645,36,D,Manufacturing
3646,36,D,Manufacturing
3647,36,D,Manufacturing
3648,36,D,Manufacturing
3651,36,D,Manufacturing
3652,36,D,Manufacturing
3655,36,D,Manufacturing
3661,36,D,Manufacturing
3662,36,D,Manufacturing
3663,36,D,Manufacturing
3665,36,D,Manufacturing
3669,36,D,Manufacturing
3671,36,D,Manufacturing
3672,36,D,Manufacturing
3673,36,D,Manufacturing
3674,36,D,Manufacturing
3675,36,D,Manufacturing
3676,36,D,Manufacturing
3677,36,D,Manufacturing
3678,36,D,Manufacturing
3679,36,D,Manufacturing
3691,36,D,Manufacturing
3692,36,D,Manufacturing
3693,36,D,Manufacturing
3694,36,D,Manufacturing
3695,36,D,Manufacturing
3698,36,D,Manufacturing
3699,36,D,Manufacturing
3711,37,D,Manufacturing
3713,37,D,Manufacturing
3714,37,D,Manufacturing
3715,37,D,Manufacturing
3716,37,D,Manufacturing
3721,37,D,Manufacturing
3724,37,D,Manufacturing
3728,37,D,Manufacturing
3731,37,D,Manufacturing
3732,37,D,Manufacturing
3741,37,D,Manufacturing
3743,37,D,Manufacturing
3751,37,D,Manufacturing
3761,37,D,Manufacturing
3764,37,D,Manufacturing
3769,37,D,Manufacturing
3781,37,D,Manufacturing
3792,37,D,Manufacturing
3795,37,D,Manufacturing
3799,37,D,Manufacturing
3811,38,D,Manufacturing
3812,38,D,Manufacturing
3815,38,D,Manufacturing
3821,38,D,Manufacturing
3822,38,D,Manufacturing
3823,38,D,Manufacturing
3824,38,D,Manufacturing
3825,38,D,Manufacturing
3826,38,D,Manufacturing
3827,38,D,Manufacturing
3829,38,D,Manufacturing
3832,38,D,Manufacturing
3841,38,D,Manufacturing
3842,38,D,Manufacturing
3843,38,D,Manufacturing
3844,38,D,Manufacturing
3845,38,D,Manufacturing
3851,38,D,Manufacturing
3861,38,D,Manufacturing
3873,38,D,Manufacturing
3911,39,D,Manufacturing
3914,39,D,Manufacturing
3915,39,D,Manufacturing
3931,39,D,Manufacturing
3942,39,D,Manufacturing
3944,39,D,Manufacturing
3949,39,D,Manufacturing
3951,39,D,Manufacturing
3952,39,D,Manufacturing
3953,39,D,Manufacturing
3955,39,D,Manufacturing
3961,39,D,Manufacturing
3962,39,D,Manufacturing
3963,39,D,Manufacturing
3964,39,D,Manufacturing
3965,39,D,Manufacturing
3988,39,D,Manufacturing
3991,39,D,Manufacturing
3993,39,D,Manufacturing
3995,39,D,Manufacturing
3996,39,D,Manufacturing
3998,39,D,Manufacturing
3999,39,D,Manufacturing
4011,40,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4013,40,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4111,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4119,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4121,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4125,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4131,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4141,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4142,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4151,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4171,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4172,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4173,41,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4212,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4213,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4214,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4215,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4221,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4222,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4224,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4225,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4226,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4231,42,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4311,43,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4411,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4412,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4421,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4422,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4423,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4424,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4431,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4432,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4441,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4449,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4452,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4453,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4454,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4459,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4463,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4464,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4469,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4481,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4482,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4489,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4491,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4492,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4493,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4499,44,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4511,45,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4512,45,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4513,45,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4521,45,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4522,45,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4551,45,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4581,45,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4582,45,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4583,45,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4612,46,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4613,46,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4619,46,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4712,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4722,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4723,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4724,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4725,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4729,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4731,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4741,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4742,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4743,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4782,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4783,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4784,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4785,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4789,47,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4811,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4812,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4813,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4821,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4822,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4825,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4832,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4833,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4841,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4899,48,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4911,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4922,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4923,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4924,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4925,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4931,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4932,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4939,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4941,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4952,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4953,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4955,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4959,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4961,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4971,49,E,"Transportation, Communications, Electric, Gas, And Sanitary Services"
