ZIP_CODE,DENSITY,sex_ratio,MEDAGE
2134,20686.7,0.132213427,26.9
2135,16486.1,-0.059983626,29.3
2136,8810.6,-0.132169147,37
2137,0,NA,0
2138,11054.6,-0.12296119,30.7
2139,13913,0.013191523,30.9
2140,11095.2,-0.144884681,35
2141,12698.5,0.012848142,32.9
2142,10457.2,0.062730529,28.6
2143,12326.2,-0.024398238,33
2144,18421.7,-0.12781354,31.1
2145,19070.8,0.032483665,33.7
2148,10297.3,-0.0628407,36.5
2149,11509.8,-0.038260808,35.4
2150,15953.5,0.034484194,31.9
2151,8816.2,-0.038735945,37.9
2152,6204.2,-0.028120376,43.6
2153,13698.6,-0.101782694,22.7
2155,6695.7,-0.086210857,37.5
2156,13164.7,-0.157185584,41.7
2163,4617.4,-0.041619595,26.1
2169,4390.2,-0.07900235,38.8
2170,8763.7,-0.087736764,39.7
2171,6707.3,-0.09460472,40.9
2176,5386.1,-0.116533816,41.7
2180,3498,-0.099486655,43.6
2184,2556.4,-0.110586954,41.3
2185,0,NA,0
2186,2058.6,-0.112928233,40.9
2187,7799.9,-0.195744577,37.1
2188,3445.4,-0.139474897,42.2
2189,3691.2,-0.102752175,38.9
2190,2260.4,-0.082745903,41.2
2191,3905.7,-0.083855922,44.7
2196,0,NA,0
2199,17643,-0.009287992,32.6
2201,0,NA,0
2203,0,NA,0
2205,0,NA,0
2210,4105,0.138112117,33.7
2211,0,NA,0
2212,0,NA,0
2215,28093.3,-0.273796852,23
2217,0,NA,0
2222,0,NA,0
2238,0,NA,0
2269,0,NA,0
2283,0,NA,0
2297,0,NA,0
2301,4535.6,-0.079197392,35.7
2302,3591.9,-0.071697259,36.3
2303,0,NA,0
2304,0,NA,0
2305,0,NA,0
2322,1016.2,-0.066691374,43.5
2324,947.1,0.05467686,36.5
2325,0,NA,0
2327,0,NA,0
2330,320.3,-0.052371537,42.2
2331,0,NA,0
2332,621.5,-0.055850653,44.5
2333,812.2,-0.050525774,40.1
2334,0,NA,0
2337,0,NA,0
2338,501.9,-0.052216625,41.9
2339,886.4,-0.048205666,40.9
2340,0,NA,0
2341,673.3,-0.014238096,40.1
2343,1501.8,-0.051358701,41
2344,0,NA,0
2345,0,NA,0
2346,339.7,-0.045873227,40.9
2347,368,-0.041586034,42
2348,0,NA,0
2349,0,NA,0
2350,0,NA,0
2351,1568.2,-0.048164209,39.4
2355,0,NA,0
2356,949,-0.102437108,37.2
2357,0,NA,0
2358,0,NA,0
2359,826,-0.039098021,40.1
2360,589.9,-0.023066198,41.2
2361,4502,-0.133531393,44.3
2362,0,NA,0
2364,675.5,-0.088873983,41.7
2366,0,NA,0
2367,200.8,-0.03721033,44
2368,3081.8,-0.080912025,39.8
2370,1630.6,-0.087108486,39.6
2375,659.2,-0.057987258,40.5
2379,461.3,-0.037139547,43.1
2381,0,NA,0
2382,1861.4,-0.048484441,38.1
2420,1980.8,-0.090218519,45.3
2421,1826.6,-0.106879829,45.2
2445,7788.6,-0.161574075,35.7
2446,16736,-0.24380082,33
2447,0,NA,0
2451,2977.3,-0.033809044,39.3
2452,3986.4,-0.018803756,32.6
2453,6659.4,0.010112883,32.6
2454,0,NA,0
2455,8733.3,0.17788696,33.4
2456,8071.4,-0.311436158,42.6
2457,11359.5,-0.459532329,43.8
2458,6084.2,-0.122528983,37.4
2459,4048.8,-0.120058585,43.9
2460,6012.5,-0.121986313,41.7
2461,4004.5,-0.158780607,41.3
2462,2222.8,-0.130489687,45.1
2464,5740.8,-0.156721375,39.9
2465,4811,-0.091880233,42
2466,3600.8,-0.193076244,37.9
2467,3317.1,-0.122991658,34.1
2468,3693.7,-0.073279205,46.6
2471,0,NA,0
2472,7061.7,-0.123473514,38.9
2474,8026.3,-0.121717611,40.6
2475,8272.4,-0.280902385,45
2476,6446.9,-0.145041037,41.3
2478,5091,-0.118373824,41.1
2479,7957.6,-0.098845835,42.1
2481,2712.6,-0.077566038,38.2
2482,2695,-0.407734788,37.1
2492,2153.4,-0.07334103,42.7
2493,688.3,-0.084791935,45
2494,2941.3,-0.070220698,42.2
2495,2577.5,-0.087011377,38.5
2532,870.5,0.038935772,45.2
2534,0,NA,0
2535,36.3,0.023704814,48.4
2536,708.4,-0.098886258,47.4
2537,520.3,-0.063888326,45.7
2538,801.8,-0.046804066,41.7
2539,170.8,0.042063249,44.6
2540,729.7,-0.204082504,56.3
2541,0,NA,0
