lookup_key,state,class_code,final_rate,final_rate_uslh,clerical_ind
AK5403,AK,5403,0.112796,0.1522746,0
AK5437,AK,5437,0.126325,0.17053875,0
AK5443,AK,5443,0.067971,0.09176085,0
AK5445,AK,5445,0.082315,0.11112525,0
AK5462,AK,5462,0.221028,0.2983878,0
AK5472,AK,5472,0.060473,0.08163855,0
AK5473,AK,5473,0.173758,0.2345733,0
AK5474,AK,5474,0.124858,0.1685583,0
AK5478,AK,5478,0.068949,0.09308115,0
AK5479,AK,5479,0.097148,0.1311498,0
AK5480,AK,5480,0.090628,0.1223478,0
AK5491,AK,5491,0.033415,0.04511025,0
AK5509,AK,5509,0.071883,0.09704205,0
AK5516,AK,5516,0.075306,0.1016631,0
AK5535,AK,5535,0.082152,0.1109052,0
AK5536,AK,5536,0.135458,0.1828683,0
AK5537,AK,5537,0.083456,0.1126656,0
AK5538,AK,5538,0.083768,0.1130868,0
AK5551,AK,5551,0.253954,0.3428379,0
AK5606,AK,5606,0.016952,0.0228852,0
AK5610,AK,5610,0.085412,0.1153062,0
AK5645,AK,5645,0.160718,0.2169693,0
AK5651,AK,5651,0.156584,0.2113884,0
AK5703,AK,5703,0.277915,0.37518525,0
AK5705,AK,5705,0.261289,0.35274015,0
AK5951,AK,5951,0.010595,0.01430325,0
AK6003,AK,6003,0.10758,0.145233,0
AK6005,AK,6005,0.047922,0.0646947,0
AK6017,AK,6017,0.144255,0.19474425,0
AK6018,AK,6018,0.039772,0.0536922,0
AK6045,AK,6045,0.063244,0.0853794,0
AK6204,AK,6204,0.12714,0.171639,0
AK6206,AK,6206,0.035697,0.04819095,0
AK6213,AK,6213,0.050041,0.06755535,0
AK6214,AK,6214,0.034556,0.0466506,0
AK6216,AK,6216,0.07172,0.096822,0
AK6217,AK,6217,0.082315,0.11112525,0
AK6229,AK,6229,0.081174,0.1095849,0
AK6233,AK,6233,0.046292,0.0624942,0
AK6235,AK,6235,0.060962,0.0822987,0
AK6236,AK,6236,0.11736,0.158436,0
AK6237,AK,6237,0.028688,0.0387288,0
AK6251,AK,6251,0.076773,0.10364355,0
AK6252,AK,6252,0.07987,0.1078245,0
AK6260,AK,6260,0.131704,0.1778004,0
AK6306,AK,6306,0.084597,0.11420595,0
AK6319,AK,6319,0.093073,0.12564855,0
AK6325,AK,6325,0.07661,0.1034235,0
AK6400,AK,6400,0.153872,0.2077272,0
AK6503,AK,6503,0.05542,0.074817,0
AK6504,AK,6504,0.069764,0.0941814,0
AK6702,AK,6702,0.075795,0.10232325,0
AK6703,AK,6703,0.111003,0.14985405,0
AK6704,AK,6704,0.084271,0.11376585,0
AK6801,AK,6801,0.060962,0.0822987,0
AK6811,AK,6811,0.1141,0.154035,0
AK6824,AK,6824,0.171313,0.23127255,0
AK6826,AK,6826,0.083293,0.11244555,0
AK6834,AK,6834,0.068134,0.0919809,0
AK6836,AK,6836,0.071557,0.09660195,0
AK6843,AK,6843,0.117686,0.1588761,0
AK6845,AK,6845,0.118664,0.1601964,0
AK6854,AK,6854,0.067319,0.09088065,0
AK6872,AK,6872,0.20864,0.281664,0
AK6874,AK,6874,0.168216,0.2270916,0
AK6882,AK,6882,0.069112,0.0933012,0
AK6884,AK,6884,0.091606,0.1236681,0
AK7016,AK,7016,0.050856,0.0686556,0
AK7024,AK,7024,0.056561,0.07635735,0
AK7038,AK,7038,0.083293,0.11244555,0
AK7046,AK,7046,0.078729,0.10628415,0
AK7047,AK,7047,0.074002,0.0999027,0
AK7050,AK,7050,0.122413,0.16525755,0
AK7090,AK,7090,0.092584,0.1249884,0
AK7098,AK,7098,0.087531,0.11816685,0
AK7099,AK,7099,0.114263,0.15425505,0
AK7133,AK,7133,0.060147,0.08119845,0
AK7151,AK,7151,0.073024,0.0985824,0
AK7152,AK,7152,0.106928,0.1443528,0
AK7153,AK,7153,0.081174,0.1095849,0
AK7219,AK,7219,0.131052,0.1769202,0
AK7222,AK,7222,0.096007,0.12960945,0
AK7230,AK,7230,0.150123,0.20266605,0
AK7231,AK,7231,0.137898,0.1861623,0
AK7232,AK,7232,0.1141,0.154035,0
AK7309,AK,7309,0.25591,0.3454785,0
AK7317,AK,7317,0.133171,0.17978085,0
AK7327,AK,7327,0.144092,0.1945242,0
AK7333,AK,7333,0.036023,0.04863105,0
AK7335,AK,7335,0.039935,0.05391225,0
AK7337,AK,7337,0.051834,0.0699759,0
AK7350,AK,7350,0.209944,0.2834244,0
AK7360,AK,7360,0.098289,0.13269015,0
AK7370,AK,7370,0.09128,0.123228,0
AK7380,AK,7380,0.105461,0.14237235,0
AK7382,AK,7382,0.103179,0.13929165,0
AK7390,AK,7390,0.127792,0.1725192,0
AK7394,AK,7394,0.041402,0.0558927,0
AK7395,AK,7395,0.045966,0.0620541,0
AK7398,AK,7398,0.06031,0.0814185,0
AK7402,AK,7402,0.005868,0.0079218,0
AK7405,AK,7405,0.018908,0.0255258,0
AK7414,AK,7414,0.052812,0.0712962,0
AK7418,AK,7418,0.059644,0.0805194,0
AK7420,AK,7420,0.103505,0.13973175,0
AK7421,AK,7421,0.02608,0.035208,0
AK7422,AK,7422,0.033415,0.04511025,0
AK7425,AK,7425,0.079381,0.10716435,0
AK7431,AK,7431,0.056072,0.0756972,0
AK7445,AK,7445,0.010106,0.0136431,0
AK7453,AK,7453,0.030155,0.04070925,0
AK7502,AK,7502,0.054605,0.07371675,0
AK7515,AK,7515,0.03423,0.0462105,0
AK7520,AK,7520,0.050204,0.0677754,0
AK7538,AK,7538,0.119968,0.1619568,0
AK7539,AK,7539,0.074328,0.1003428,0
AK7540,AK,7540,0.083619,0.11288565,0
AK7580,AK,7580,0.050204,0.0677754,0
AK7590,AK,7590,0.058517,0.07899795,0
AK7600,AK,7600,0.076447,0.10320345,0
AK7601,AK,7601,0.099267,0.13401045,0
AK7605,AK,7605,0.03423,0.0462105,0
AK7610,AK,7610,0.020701,0.02794635,0
AK7611,AK,7611,0.096348,0.1300698,0
AK7612,AK,7612,0.096348,0.1300698,0
AK7613,AK,7613,0.096348,0.1300698,0
AK7704,AK,7704,0.074,0.0999,0
AK7705,AK,7705,0.116219,0.15689565,0
AK7710,AK,7710,0.091443,0.12344805,0
AK7711,AK,7711,0.091443,0.12344805,0
AK7720,AK,7720,0.052975,0.07151625,0
AK7855,AK,7855,0.065037,0.08779995,0
AK8001,AK,8001,0.051182,0.0690957,0
AK8002,AK,8002,0.0326,0.04401,0
AK8003,AK,8003,0.009454,0.0127629,0
AK8006,AK,8006,0.030807,0.04158945,0
AK8008,AK,8008,0.028362,0.0382887,0
AK8010,AK,8010,0.033415,0.04511025,0
AK8013,AK,8013,0.009128,0.0123228,0
AK8015,AK,8015,0.017278,0.0233253,0
AK8017,AK,8017,0.030807,0.04158945,0
AK8018,AK,8018,0.054605,0.07371675,0
AK8021,AK,8021,0.074002,0.0999027,0
AK8031,AK,8031,0.06357,0.0858195,0
AK8032,AK,8032,0.041076,0.0554526,0
AK8033,AK,8033,0.034719,0.04687065,0
AK8037,AK,8037,0.034067,0.04599045,0
AK8039,AK,8039,0.034067,0.04599045,0
AK8044,AK,8044,0.0652,0.08802,0
AK8045,AK,8045,0.00978,0.013203,0
AK8046,AK,8046,0.044825,0.06051375,0
AK8047,AK,8047,0.017604,0.0237654,0
AK8050,AK,8050,0.0339406,0.04581981,0
AK8058,AK,8058,0.077751,0.10496385,0
AK8072,AK,8072,0.015811,0.02134485,0
AK8102,AK,8102,0.043521,0.05875335,0
AK8103,AK,8103,0.061288,0.0827388,0
AK8105,AK,8105,0.066178,0.0893403,0
AK8106,AK,8106,0.089976,0.1214676,0
AK8107,AK,8107,0.051834,0.0699759,0
AK8111,AK,8111,0.059984,0.0809784,0
AK8116,AK,8116,0.050367,0.06799545,0
AK8203,AK,8203,0.112307,0.15161445,0
AK8204,AK,8204,0.096496,0.1302696,0
AK8209,AK,8209,0.081826,0.1104651,0
AK8215,AK,8215,0.079707,0.10760445,0
AK8227,AK,8227,0.065037,0.08779995,0
AK8232,AK,8232,0.073024,0.0985824,0
AK8233,AK,8233,0.050204,0.0677754,0
AK8235,AK,8235,0.068297,0.09220095,0
AK8263,AK,8263,0.139039,0.18770265,0
AK8264,AK,8264,0.118827,0.16041645,0
AK8265,AK,8265,0.142625,0.19254375,0
AK8279,AK,8279,0.122902,0.1659177,0
AK8288,AK,8288,0.157295,0.21234825,0
AK8291,AK,8291,0.07335,0.0990225,0
AK8292,AK,8292,0.071394,0.0963819,0
AK8293,AK,8293,0.150612,0.2033262,0
AK8304,AK,8304,0.098778,0.1333503,0
AK8350,AK,8350,0.09128,0.123228,0
AK8380,AK,8380,0.07498,0.101223,0
AK8381,AK,8381,0.047759,0.06447465,0
AK8385,AK,8385,0.037979,0.05127165,0
AK8392,AK,8392,0.045803,0.06183405,0
AK8393,AK,8393,0.044662,0.0602937,0
AK8500,AK,8500,0.110188,0.1487538,0
AK8601,AK,8601,0.009291,0.01254285,0
AK8602,AK,8602,0.016789,0.02266515,0
AK8606,AK,8606,0.062103,0.08383905,0
AK8607,AK,8607,0.037148,0.0501498,0
AK8709,AK,8709,0.050041,0.06755535,0
AK8719,AK,8719,0.057865,0.07811775,0
AK8720,AK,8720,0.025591,0.03454785,0
AK8721,AK,8721,0.009128,0.0123228,0
AK8723,AK,8723,0.006194,0.0083619,0
AK8725,AK,8725,0.046455,0.06271425,0
AK8726,AK,8726,0.045151,0.06095385,0
AK8734,AK,8734,0.012062,0.0162837,0
AK8737,AK,8737,0.010921,0.01474335,0
AK8738,AK,8738,0.015974,0.0215649,0
AK8742,AK,8742,0.008965,0.01210275,0
AK8745,AK,8745,0.103016,0.1390716,0
AK8748,AK,8748,0.020538,0.0277263,0
AK8755,AK,8755,0.012225,0.01650375,0
AK8799,AK,8799,0.0163,0.022005,0
AK8800,AK,8800,0.050204,0.0677754,0
AK8803,AK,8803,0.001956,0.0026406,0
AK8805,AK,8805,0.008802,0.0118827,0
AK8810,AK,8810,0.00652,0.008802,1
AK8812,AK,8812,0.04401,0.0594135,0
AK8814,AK,8814,0.007987,0.01078245,0
AK8815,AK,8815,0.01141,0.0154035,0
AK8820,AK,8820,0.006357,0.00858195,0
AK8824,AK,8824,0.064711,0.08735985,0
AK8825,AK,8825,0.05216,0.070416,0
AK8826,AK,8826,0.04564,0.061614,0
AK8829,AK,8829,0.046292,0.0624942,0
AK8831,AK,8831,0.03586,0.048411,0
AK8832,AK,8832,0.012714,0.0171639,0
AK8833,AK,8833,0.024939,0.03366765,0
AK8835,AK,8835,0.044336,0.0598536,0
AK8837,AK,8837,0.027676,0.0373626,0
AK8842,AK,8842,0.043358,0.0585333,0
AK8855,AK,8855,0.006194,0.0083619,0
AK8856,AK,8856,0.007172,0.0096822,0
AK8864,AK,8864,0.062918,0.0849393,0
AK8868,AK,8868,0.013529,0.01826415,0
AK8869,AK,8869,0.036838,0.0497313,0
AK8871,AK,8871,0.002934,0.0039609,0
AK8901,AK,8901,0.009128,0.0123228,0
AK9012,AK,9012,0.029503,0.03982905,0
AK9014,AK,9014,0.057376,0.0774576,0
AK9015,AK,9015,0.076773,0.10364355,0
AK9016,AK,9016,0.05705,0.0770175,0
AK9019,AK,9019,0.052649,0.07107615,0
AK9033,AK,9033,0.03097,0.0418095,0
AK9040,AK,9040,0.066667,0.09000045,0
AK9052,AK,9052,0.057865,0.07811775,0
AK9058,AK,9058,0.039446,0.0532521,0
AK9060,AK,9060,0.036512,0.0492912,0
AK9061,AK,9061,0.029666,0.0400491,0
AK9063,AK,9063,0.02771,0.0374085,0
AK9064,AK,9064,0.023976,0.0323676,0
AK9076,AK,9076,0.050204,0.0677754,0
AK9077,AK,9077,0.035208,0.0475308,0
AK9078,AK,9078,0.05216,0.070416,0
AK9079,AK,9079,0.0584448,0.07890048,0
